city,year,pm25
保定,2018,53.680790060532935
北京,2018,44.17860722972595
唐山,2018,47.51871049758214
天津,2018,52.69319827653107
廊坊,2018,55.11591661232468
张家口,2018,31.56908177459575
承德,2018,30.407153806333852
沧州,2018,56.115032059883234
石家庄,2018,60.375893021026286
秦皇岛,2018,39.70291384063123
衡水,2018,59.55949440739458
邢台,2018,62.422212798644686
邯郸,2018,63.05725005576266
保定,2019,48.689249640742965
北京,2019,38.860365573909704
唐山,2019,46.26620326301061
天津,2019,50.32582863851584
廊坊,2019,50.75083610152288
张家口,2019,28.079815970310815
承德,2019,27.367824794804317
沧州,2019,53.163937038122185
石家庄,2019,54.917964036265666
秦皇岛,2019,39.655080326505214
衡水,2019,56.086964995019734
邢台,2019,58.44721836478714
邯郸,2019,60.42307530553668
保定,2020,43.91391392492767
北京,2020,35.38132031035604
唐山,2020,41.285927747445726
天津,2020,45.29417647192554
廊坊,2020,45.920973327677686
张家口,2020,26.776829802887907
承德,2020,26.188987913596538
沧州,2020,48.37047859100758
石家庄,2020,49.510572280593095
秦皇岛,2020,35.31213042867373
衡水,2020,50.73735363558084
邢台,2020,51.67490778216215
邯郸,2020,53.37826234413888
保定,2021,40.98174292704762
北京,2021,32.88331756653456
唐山,2021,39.2587031656999
天津,2021,40.67575453411138
廊坊,2021,41.990215550174575
张家口,2021,27.342321035913482
承德,2021,26.82642846225373
沧州,2021,42.34125921071063
石家庄,2021,44.048875035866345
秦皇岛,2021,34.58627974791509
衡水,2021,44.30244355876261
邢台,2021,45.334545183208185
邯郸,2021,46.66216472617553
保定,2022,36.89917764132454
北京,2022,29.6958787849055
唐山,2022,34.81533916966683
天津,2022,37.14465257253736
廊坊,2022,39.17564216092549
张家口,2022,22.60476240827947
承德,2022,22.300167558533964
沧州,2022,39.85727768161311
石家庄,2022,43.017527590237314
秦皇岛,2022,30.518372561852818
衡水,2022,43.71734473177414
邢台,2022,45.37921396740295
邯郸,2022,47.62725626759731
保定,2023,38.501863263977945
北京,2023,33.176298000324906
唐山,2023,39.883203257562286
天津,2023,43.01336220298324
廊坊,2023,43.872047311650824
张家口,2023,25.82214674053511
承德,2023,25.24123655354693
沧州,2023,44.12862500957946
石家庄,2023,43.240638090872956
秦皇岛,2023,34.300514740634576
衡水,2023,46.274229083144874
邢台,2023,45.652648582298454
邯郸,2023,46.76175239206874
