city,year,pm25
东莞,2018,32.38959568458313
中山,2018,29.557948096497277
佛山,2018,33.728161256994724
广州,2018,31.852650697217932
惠州,2018,27.556745140540965
江门,2018,28.643651781719846
深圳,2018,27.481025406032746
珠海,2018,27.39819001822636
肇庆,2018,31.247495745053904
东莞,2019,29.698540891406676
中山,2019,27.206170718514784
佛山,2019,29.70554261867553
广州,2019,28.20831101312935
惠州,2019,25.118679689282555
江门,2019,26.49035850360583
深圳,2019,25.72654094661133
珠海,2019,25.79000040744913
肇庆,2019,27.618525654188538
东莞,2020,22.6189740319261
中山,2020,20.303957474143772
佛山,2020,23.081426393635763
广州,2020,22.765652879053732
惠州,2020,20.955796036851233
江门,2020,20.711608209378316
深圳,2020,20.199329259266136
珠海,2020,19.936121087238707
肇庆,2020,23.28892474114691
东莞,2021,22.234840305062562
中山,2021,20.84658210079408
佛山,2021,23.602426981483127
广州,2021,22.653169398423803
惠州,2021,20.302704156840203
江门,2021,20.909880325160902
深圳,2021,19.488289229499483
珠海,2021,19.935354788215825
肇庆,2021,23.09559141410616
东莞,2022,20.151412819289444
中山,2022,19.426273877754927
佛山,2022,21.704074663627356
广州,2022,20.522407542880764
惠州,2022,17.68266782883774
江门,2022,19.37309944480583
深圳,2022,17.859891138609175
珠海,2022,17.861827939112505
肇庆,2022,21.865275954330254
东莞,2023,21.547834663965833
中山,2023,20.977145171996415
佛山,2023,23.391372462958902
广州,2023,21.877993324502025
惠州,2023,19.33013555241555
江门,2023,20.307279009768937
深圳,2023,19.408798924348886
珠海,2023,18.995388954547
肇庆,2023,22.05993198610811
