factor_1,factor_2,q1,q2,q_interaction,p_interaction,interaction_type
road_density,fvc_mean,0.37794257843053847,0.1932959158744031,0.7578379114791601,7.0347758002642805e-06,双协同(非线性增强)
gdp,road_density,0.19733706630583103,0.37794257843053847,0.7301401116937305,1.2151802659558784e-08,双协同(非线性增强)
electricity,road_density,0.3304009948668981,0.37794257843053847,0.7011359309540459,5.1412966728190765e-08,协同(双因子增强)
night_light,fvc_mean,0.3846007809546005,0.1932959158744031,0.6785198459241312,0.0012795181274972737,双协同(非线性增强)
new_energy_vehicles,road_density,0.24629057986486547,0.37794257843053847,0.6691337631015,0.00010385186658179393,双协同(非线性增强)
electricity,lpg_supply,0.3304009948668981,0.04580571801691202,0.6269006729454825,1.6987385470914474e-05,双协同(非线性增强)
electricity,fvc_mean,0.3304009948668981,0.1932959158744031,0.6196195344036044,0.019272232596185535,双协同(非线性增强)
lpg_supply,new_energy_vehicles,0.04580571801691202,0.24629057986486547,0.6192221382681677,0.001971007009396576,双协同(非线性增强)
population,new_energy_vehicles,0.3517917591999351,0.24629057986486547,0.6150939550591368,0.00024124644621372217,双协同(非线性增强)
new_energy_vehicles,night_light,0.24629057986486547,0.3846007809546005,0.6009579079724775,0.002457301502436975,协同(双因子增强)
electricity,new_energy_vehicles,0.3304009948668981,0.24629057986486547,0.5954890831693289,0.0005985750121622681,双协同(非线性增强)
population,night_light,0.3517917591999351,0.3846007809546005,0.586762438865081,3.5636970938819215e-05,协同(双因子增强)
gas_supply,new_energy_vehicles,0.22541085015711826,0.24629057986486547,0.5851683049789145,0.007191479449223617,双协同(非线性增强)
population,lpg_supply,0.3517917591999351,0.04580571801691202,0.5791354163141338,0.00037891642287490786,双协同(非线性增强)
population,road_density,0.3517917591999351,0.37794257843053847,0.5760674963562302,0.00012243077641918725,协同(双因子增强)
electricity,gas_supply,0.3304009948668981,0.22541085015711826,0.5736688683439157,6.993633929335902e-05,双协同(非线性增强)
population,electricity,0.3517917591999351,0.3304009948668981,0.5650493740168157,2.3594681752536443e-06,协同(双因子增强)
gas_supply,road_density,0.22541085015711826,0.37794257843053847,0.5395398550973496,0.008795274589658711,协同(双因子增强)
lpg_supply,road_density,0.04580571801691202,0.37794257843053847,0.5203161716637849,0.050443969665881015,双协同(非线性增强)
population,gas_supply,0.3517917591999351,0.22541085015711826,0.5198532981125992,0.0008226641666088264,协同(双因子增强)
road_density,night_light,0.37794257843053847,0.3846007809546005,0.5168235485743511,0.0028188343262074487,协同(双因子增强)
electricity,night_light,0.3304009948668981,0.3846007809546005,0.5088537313638655,0.0003856814834069282,协同(双因子增强)
new_energy_vehicles,fvc_mean,0.24629057986486547,0.1932959158744031,0.5073552358164339,0.002372066118532913,双协同(非线性增强)
population,gdp,0.3517917591999351,0.19733706630583103,0.49176264015201565,0.0004274250375033543,协同(双因子增强)
gdp,electricity,0.19733706630583103,0.3304009948668981,0.48481308247735366,7.371971581308971e-05,协同(双因子增强)
gdp,lpg_supply,0.19733706630583103,0.04580571801691202,0.48232680514164583,0.003533895303497126,双协同(非线性增强)
gas_supply,night_light,0.22541085015711826,0.3846007809546005,0.4806431815078074,0.02338230304835796,协同(双因子增强)
gdp,new_energy_vehicles,0.19733706630583103,0.24629057986486547,0.4760385579600255,0.007250964407849735,双协同(非线性增强)
lpg_supply,night_light,0.04580571801691202,0.3846007809546005,0.44895787412215704,0.03815105189199907,双协同(非线性增强)
population,fvc_mean,0.3517917591999351,0.1932959158744031,0.44438481633403215,0.48095210514949344,协同(双因子增强)
gdp,gas_supply,0.19733706630583103,0.22541085015711826,0.44373314697127275,0.012954962877402363,双协同(非线性增强)
gdp,fvc_mean,0.19733706630583103,0.1932959158744031,0.44019645837449584,0.31208547954379234,双协同(非线性增强)
gdp,night_light,0.19733706630583103,0.3846007809546005,0.3794081489994484,0.052639795228476303,单拮抗(单因子减弱)
gas_supply,fvc_mean,0.22541085015711826,0.1932959158744031,0.3490726344258348,0.9080800265674168,协同(双因子增强)
gas_supply,lpg_supply,0.22541085015711826,0.04580571801691202,0.3217247356838706,0.29767115478153033,双协同(非线性增强)
lpg_supply,fvc_mean,0.04580571801691202,0.1932959158744031,0.2164153771611219,0.9989615075985163,协同(双因子增强)
