Feature,Importance,Importance_Norm
wind_dir_10m,0.035978187,4.517818
wind_dir_100m,0.035902124,4.5082664
sp,0.032444503,4.0740895
mn2t,0.031700786,3.9807003
day,0.03102315,3.8956087
month,0.030994553,3.8920178
wind_speed_10m,0.03081397,3.8693416
tcwv,0.030562965,3.8378232
v10,0.030431846,3.8213582
t2m,0.030157853,3.7869525
day_of_week,0.02968333,3.727366
wind_speed_100m,0.02949491,3.703706
blh,0.029445242,3.6974695
d2m,0.029135277,3.658547
is_heating_season,0.028867021,3.6248617
u10,0.028569542,3.5875068
day_of_year,0.02761224,3.467297
v100,0.027421607,3.4433591
season,0.026709357,3.3539214
week_of_year,0.025041917,3.144539
temp_dewpoint_diff,0.02425226,3.0453813
u100,0.02351146,2.9523582
tp,0.020988422,2.6355376
PM2.5_lag1,0.02043919,2.5665703
PM2.5_lag3,0.0188483,2.3668003
PM2.5_lag7,0.018055607,2.267261
avg_tprate,0.016862817,2.1174812
PM2.5_ma3,0.01540933,1.9349654
PM2.5_ma7,0.013643951,1.7132851
PM2.5_ma30,0.011595867,1.4561049
wind_dir_category,0.010418149,1.3082176
relative_humidity,0.00034633235,0.04348931
