Model,Sequence_Length,Dataset,R²,RMSE,MAE,MAPE
LSTM_Basic_Seq7,7,Train,0.8541896636254522,19.864171061802395,14.463168058904353,44.476221905520944
LSTM_Basic_Seq7,7,Validation,0.27388308046213783,25.724895065447868,16.911302451565312,78.19237983149517
LSTM_Basic_Seq7,7,Test,0.23346148159321944,21.82913967095274,14.466036997524974,77.30948945363247
LSTM_Basic_Seq14,14,Train,0.8178885398817775,22.089947853039224,15.761969882120662,48.416248873133746
LSTM_Basic_Seq14,14,Validation,0.12260974488991516,28.284731786821755,18.416662044790176,93.14361546041626
LSTM_Basic_Seq14,14,Test,0.02591395968871979,24.618752541990705,16.054411465648666,88.01719013238242
LSTM_Basic_Seq30,30,Train,0.6932194222147176,28.606748659067108,20.02232511750231,63.07034458338679
LSTM_Basic_Seq30,30,Validation,-0.2094594794245923,33.2566698094146,21.841324202894995,120.11189985234336
LSTM_Basic_Seq30,30,Test,0.04445549734341869,24.399432457287418,17.348976690405344,113.98956920491948
LSTM_Optimized_Seq7,7,Train,0.6851852347859989,29.187966367928404,19.58609918870975,59.136368996113795
LSTM_Optimized_Seq7,7,Validation,0.3124439855133614,25.03250873424073,17.6787183531593,100.83166207977816
LSTM_Optimized_Seq7,7,Test,0.2949013423305148,20.936041578077546,14.642180648443322,94.91859077069216
LSTM_Optimized_Seq14,14,Train,0.6950626536349136,28.584550075679267,18.88767891430597,51.76364679562485
LSTM_Optimized_Seq14,14,Validation,0.23973862282697822,26.32916739019914,17.675307377651375,92.86314492600184
LSTM_Optimized_Seq14,14,Test,0.19370188538596422,22.398307641055183,15.259989620590737,91.94611567850455
LSTM_Optimized_Seq30,30,Train,0.6456737812244646,30.743705730732668,21.84162112151666,75.16153302927256
LSTM_Optimized_Seq30,30,Validation,-0.37718276660363914,35.487784475647615,26.70379861852086,179.15504482879413
LSTM_Optimized_Seq30,30,Test,-0.47544913425736923,30.31910564882023,22.133149222081933,167.9232297503917
