True_PM25,Predicted_PM25
15.577464,15.41506
39.830986,38.26833
14.211267,13.525738
24.859156,22.696981
19.380281,19.894545
70.29578,65.84421
25.15493,27.359758
8.478873,8.644457
15.169014,15.049388
67.30986,63.211372
3.9014084,3.5574422
49.859154,49.02102
2.084507,2.090098
4.6901407,4.782886
69.87324,68.741196
18.563381,19.122496
10.225352,9.382913
39.521126,40.31081
96.1831,94.197876
17.859156,16.813442
53.816902,46.07794
12.450704,12.243272
4.549296,5.0874104
13.056338,12.515395
5.352113,4.4255004
2.6478875,2.223134
9.478873,9.10815
72.30986,69.60704
20.056337,20.538334
67.30986,68.23454
11.605634,10.654032
10.211267,9.316844
34.194366,33.910427
4.3802814,4.0044346
18.408451,17.7014
36.323944,31.018837
41.577465,43.95719
15.9577465,15.415767
1.9014084,1.0537081
32.126762,23.358805
16.521128,14.449641
14.197184,13.830072
51.46479,48.245342
17.30986,18.2856
9.140845,7.7610025
97.6338,98.606766
4.5774646,4.5041842
12.605634,13.24455
1.7464788,1.6658771
17.225351,17.276142
15.619718,13.313642
29.02817,33.079136
7.8732395,7.940956
48.197186,47.642895
2.2816901,1.8908663
13.577464,15.363184
7.492958,7.5089364
12.943663,12.799439
20.169014,19.609133
12.028169,7.1521487
54.760567,54.086914
4.549296,5.4756536
59.267605,57.841244
24.676056,26.171207
73.04226,73.11877
11.690141,10.258674
18.69014,19.152418
6.0845075,5.238174
37.40986,34.99333
10.366197,10.349883
141.67606,142.02605
10.450704,11.020453
38.140846,39.502434
7.4084506,7.6096416
5.253521,5.2399173
102.61972,98.22634
69.788734,68.252914
4.2957745,3.4864044
124.35634,126.90003
27.30986,27.16881
5.71831,4.0109377
35.722534,33.359356
3.7605634,3.2580416
8.56338,8.627139
6.3098593,6.5949955
18.957747,18.384834
22.02817,21.084171
31.94366,30.948307
3.5633802,3.7593513
14.549296,11.12765
23.225353,21.782566
35.19718,33.918102
13.464788,11.233634
14.436619,14.080348
32.760563,34.07534
6.042253,5.7418575
8.690141,6.970699
22.90141,26.561619
22.985916,23.526188
7.267606,6.953265
10.577465,9.84791
6.0281687,5.891313
14.788733,13.581709
24.507042,22.602528
21.84507,18.40407
3.8169012,2.4988756
8.774648,8.617664
61.126762,74.937386
3.3380282,4.097315
47.774647,46.73681
7.084507,5.879985
15.056338,16.88835
22.380281,22.28752
23.46479,23.127447
4.1408453,4.153441
27.239435,28.724974
4.8591547,5.0805783
8.267606,8.25045
3.4084506,2.8467276
5.098592,4.6538563
15.014085,14.876642
10.507042,10.719286
18.830986,19.45333
23.577465,23.49902
54.732395,56.352467
46.43521,49.126812
7.1549296,0.056062594
27.760563,25.418924
2.7887323,2.178555
8.549295,9.322655
4.5619717,4.789088
13.422535,13.461037
12.070422,10.5453415
3.859155,4.544131
24.676056,24.538506
15.690142,14.943854
9.690141,8.458258
17.450705,16.502256
28.8169,28.06076
8.633803,15.408207
4.6197186,5.281433
10.577465,10.29987
9.422536,9.646919
35.450703,34.767216
11.915493,12.399134
29.042255,29.904707
7.197183,6.8728943
38.239437,38.452644
26.154928,23.411633
6.366197,6.810917
12.098591,12.113086
24.830986,23.648195
5.619718,4.9374466
62.92958,59.794693
50.90141,51.475273
1.887324,1.5786977
2.8450706,2.8671374
10.43662,9.598178
16.732393,17.844955
8.380281,9.077766
32.042255,28.252842
35.90141,36.825794
8.281691,7.4310946
21.070423,21.161955
1.7183099,1.7149663
2.5633802,2.8180575
10.521128,9.978897
1.112676,0.9760171
12.971831,14.233671
5.619718,5.195503
0.6056338,0.4990792
3.7042253,3.9766753
31.46479,28.99593
6.112676,5.8881674
36.633804,36.77388
10.028169,8.836969
10.605634,9.631575
26.704226,24.49125
4.943662,5.3886085
79.2676,76.75831
17.760563,16.656359
37.56338,37.551006
46.647884,48.57531
14.647887,13.622063
2.9154928,2.8819053
3.5774648,3.778427
3.309859,2.889801
23.05634,21.833996
11.845071,11.774236
85.211266,69.74567
6.943662,4.9070945
8.760563,7.2423067
52.183098,44.91237
47.380283,46.18555
2.9577465,2.8791432
3.7183096,3.269918
58.21127,59.179325
66.35211,67.23317
32.197186,33.005226
80.71408,80.675316
36.450703,38.853836
3.8450706,4.956499
10.9577465,12.930836
15.492958,15.870886
69.69718,70.72473
9.704226,8.951949
11.239436,8.102716
25.647888,25.396965
7.549296,7.206291
10.478872,9.529038
3.309859,2.8096185
8.0,8.821028
130.92958,133.37144
18.619719,19.264523
17.239435,16.446955
4.3802814,4.483979
59.53521,55.67743
1.6197183,1.3375572
7.098592,7.6322227
5.743662,5.182709
9.492958,8.895432
18.8169,20.025503
19.535212,19.19706
53.915493,52.078773
3.1830986,2.486677
26.521128,28.352427
37.05634,24.52431
29.215494,29.91937
6.0281687,6.223348
2.3943663,2.1719368
48.239437,47.8083
78.26761,85.98284
25.281689,22.872894
5.4366193,4.511725
3.6478875,3.190552
4.2957745,3.7969215
34.19718,31.906357
29.528168,28.698689
30.887323,32.632725
4.450704,4.0447764
47.169014,47.506393
13.774649,12.896773
24.478874,43.969402
11.478873,9.720829
1.0985916,0.56648415
5.3239436,4.6378016
37.74648,37.22012
2.2394366,2.6570504
100.14084,103.51337
14.760563,14.320977
51.35211,51.557957
16.704226,15.709777
2.746479,2.5276775
19.521126,17.951591
2.5633802,2.1502802
2.3380282,2.300538
2.774648,4.1679053
21.15493,20.798515
86.92958,90.92479
31.084507,28.985443
99.70422,101.90352
44.492958,45.039055
27.94366,25.270582
54.09859,53.07184
42.64789,41.39381
6.4366193,5.918734
6.352113,9.172181
13.422535,18.885393
12.225352,11.1625
4.366197,3.8585365
13.732395,13.372363
4.647887,4.5600944
13.098592,12.359963
44.3,45.51194
16.97183,14.8153305
14.028169,14.123429
2.5774648,2.3480885
20.929577,21.235407
7.816901,4.9299626
103.33803,111.83549
2.5633802,2.5094721
59.014088,55.34515
36.549297,35.57855
9.070423,7.4539914
4.2957745,4.9019136
4.5211267,3.906647
3.3380282,3.5980403
4.4366198,3.645605
28.267605,27.571829
12.0422535,10.141232
2.4084508,3.3369584
50.376057,47.41218
27.97183,25.990519
4.1408453,3.2477696
8.394366,8.289126
23.535212,17.910238
25.746477,24.714367
9.478873,8.988197
27.915493,28.797424
4.985915,4.324739
3.4788733,3.3285663
12.323943,12.9335785
5.8309855,5.318926
37.295776,36.56553
5.4366193,6.3143315
75.0169,70.55122
11.577464,11.210806
5.732394,4.9960265
22.0,22.64169
22.999998,22.893524
14.714085,14.972135
20.746479,20.244476
1.4084506,1.2843531
3.9859154,3.9159048
2.7887323,2.2414098
2.140845,1.8179653
13.845071,15.477241
17.661972,16.431969
87.12676,78.337585
2.774648,2.598562
12.605634,11.470197
9.422536,8.702519
63.95775,64.15213
1.8028169,2.0250926
5.3943663,4.686185
10.492957,10.725058
28.647886,29.406925
17.887323,17.025871
11.098592,10.07824
37.929577,38.3612
49.05634,43.71785
9.535212,8.452752
8.915493,8.152874
5.3802814,5.538243
27.46479,27.06656
7.8732395,7.4074807
6.732394,6.3160963
17.774649,17.619547
4.661972,4.0698824
26.859154,27.7716
52.774647,54.187546
12.422535,11.978294
59.28873,62.37776
5.492958,5.3165545
63.774647,64.422554
25.577465,25.801352
8.788733,8.11919
6.225352,7.351025
7.4507046,7.0402493
22.253521,21.565968
7.788732,7.0027423
9.521127,9.257194
9.732394,9.081284
71.30986,76.76526
10.394366,11.433499
24.591549,24.310127
20.859156,21.260035
18.239437,14.580694
39.535213,43.13422
41.721127,39.715656
14.281691,16.624775
25.478874,24.15899
11.43662,10.156875
21.042255,14.60128
14.436619,16.80645
54.422535,57.396156
7.971831,8.464031
17.985914,17.968538
30.140844,28.94987
39.140846,39.063683
14.338028,10.783611
31.084507,34.63364
7.7746477,7.8946953
18.380281,16.523113
69.35211,71.079445
2.2957747,1.9937265
5.5070424,5.4417934
21.436619,19.93974
64.08451,73.14487
1.9436619,1.6552241
151.47888,148.58784
19.30986,18.949884
3.1971831,2.8059578
5.619718,4.703496
76.15493,73.6442
74.9155,76.78865
7.1760564,6.508693
18.521128,17.983345
3.2112675,3.4515681
6.239436,6.1812344
35.02817,34.3266
3.633803,3.86958
3.5070422,4.6508474
22.492958,25.146292
14.633803,14.0919285
53.52113,53.45879
10.577465,9.8321495
16.408451,15.269965
8.985915,8.708336
34.971832,31.210632
40.0,39.822155
11.802817,11.5370865
47.73239,50.39522
39.450703,41.16846
18.69014,19.925657
6.788732,6.334918
