Feature,Importance_Split,Importance_Gain,Importance_Split_Norm,Importance_Gain_Norm
PM2.5_ma3,5720,137947957.24580383,18.051566888629406,61.49702889687498
PM2.5_lag1,2618,13159513.11289978,8.262063306718844,5.8664946863315715
blh,1455,8219495.293739319,4.591788430586676,3.6642408462499403
PM2.5_lag3,2014,7485116.003002167,6.355918831066368,3.3368554658107312
sp,1283,6050135.711223602,4.048979076592925,2.697143024743491
PM2.5_ma30,1640,5505765.2458229065,5.175624072963676,2.4544633438715207
PM2.5_ma7,2239,5405483.980518341,7.065989206930287,2.409758079702503
d2m,720,4834796.215293884,2.2722252027645404,2.1553461790857655
tcwv,722,3853869.248641968,2.2785369394388866,1.718050149348784
temp_dewpoint_diff,1080,3271784.615989685,3.4083378041468113,1.458557539314262
v10,968,3211646.57403183,3.0548805503834378,1.4317480745137516
day_of_year,951,2176842.303779602,3.0012307886514975,0.9704336094005204
avg_tprate,863,1992129.5881576538,2.723514374980276,0.8880889090003359
v100,796,1833445.031387329,2.5120711963896865,0.8173475296567914
day,622,1787415.4667510986,1.9629501057215892,0.7968276066143575
relative_humidity,516,1775683.1680145264,1.628428061981254,0.7915973623335805
wind_speed_10m,736,1700301.9232940674,2.3227190961593083,0.7579924965754288
PM2.5_lag7,1043,1687824.496334076,3.291570675671411,0.7524300750533038
wind_dir_10m,649,1684571.5552825928,2.0481585508252595,0.7509799179517642
tp,899,1596782.3027572632,2.837125635118503,0.7118435776450688
u10,453,1452324.979686737,1.429608356739357,0.64744468150626
u100,585,1134135.3589172363,1.8461829772461893,0.5055961417103372
mn2t,456,1102546.4815673828,1.4390759617508757,0.4915138592178004
t2m,528,1062238.4966125488,1.6662984820273299,0.4735446093279647
wind_speed_100m,600,923583.2927780151,1.893521002303784,0.4117322907756812
wind_dir_100m,554,829395.0283126831,1.7483510587938271,0.369743278852511
day_of_week,326,723031.2676467896,1.0288130779183893,0.32232644576671543
week_of_year,331,653044.1291656494,1.044592419604254,0.2911262659052975
is_heating_season,105,531316.3760681152,0.33136617540316216,0.23686018397664735
month,119,421001.286239624,0.3755483321235838,0.1876818532322793
season,91,252045.02139282227,0.28718401868274057,0.11236135911957731
wind_dir_category,5,51237.603942871094,0.015779341685864867,0.022841660530476805
